ticker,fecha,hora_entrada,precio_entrada,hora_salida,precio_salida,motivo_salida,r_multiple
CANF,2026-07-01,05:01:00,2.83,07:01:00,3.679,stop_30pct,-1.0
EHGO,2026-07-01,05:01:00,2.38,11:00:00,2.2489,hora_11:00,0.18
LGPS,2026-07-01,05:01:00,0.8838,11:00:00,0.8209,hora_11:00,0.24
TC,2026-07-01,05:01:00,3.5,05:22:00,4.55,stop_30pct,-1.0
VMAR,2026-07-01,05:02:00,2.499,11:00:00,1.54,hora_11:00,1.28
JEM,2026-07-01,05:03:00,7.6,07:01:00,9.88,stop_30pct,-1.0
BTOG,2026-07-01,05:04:00,1.47,11:00:00,1.405,hora_11:00,0.15
CVKD,2026-07-01,05:04:00,2.8,10:16:00,3.64,stop_30pct,-1.0
UVIX,2026-07-01,05:16:00,60.63,11:00:00,62.48,hora_11:00,-0.1
TC,2026-07-01,05:24:00,4.47,05:38:00,5.811,stop_30pct,-1.0
ELAB,2026-07-01,05:44:00,1.29,07:30:00,1.677,stop_30pct,-1.0
VRAX,2026-07-01,06:02:00,3.3391,06:10:00,4.3408,stop_30pct,-1.0
VRAX,2026-07-01,06:11:00,3.73,11:04:00,2.91,hora_11:00,0.73
JEM,2026-07-01,07:03:00,8.62,11:00:00,6.1601,hora_11:00,0.95
CANF,2026-07-01,07:04:00,4.74,07:06:00,6.162,stop_30pct,-1.0
ELAB,2026-07-01,07:33:00,1.57,11:00:00,1.325,hora_11:00,0.52
DSY,2026-07-02,05:01:00,5.23,11:00:00,4.65,hora_11:00,0.37
USDE,2026-07-02,05:01:00,5.35,11:00:00,3.25,hora_11:00,1.31
WHLR,2026-07-02,05:01:00,2.15,11:00:00,1.1588,hora_11:00,1.54
SDEV,2026-07-02,05:04:00,1.3498,11:00:00,1.34,hora_11:00,0.02
JEM,2026-07-02,05:05:00,3.695,11:00:00,2.4,hora_11:00,1.17
LGCL,2026-07-02,05:18:00,1.61,09:02:00,2.093,stop_30pct,-1.0
CETX,2026-07-02,06:34:00,2.7,08:32:00,3.51,stop_30pct,-1.0
FXHO,2026-07-06,05:01:00,22.57,11:01:00,16.38,hora_11:00,0.91
JLHL,2026-07-06,05:01:00,9.73,11:00:00,5.9,hora_11:00,1.31
LHSW,2026-07-06,05:01:00,3.43,07:04:00,4.459,stop_30pct,-1.0
ZCMD,2026-07-06,05:04:00,3.005,11:00:00,2.26,hora_11:00,0.83
TDTH,2026-07-06,05:11:00,1.68,08:02:00,2.184,stop_30pct,-1.0
GMEX,2026-07-06,05:21:00,3.8159,08:30:00,4.9607,stop_30pct,-1.0
TDIC,2026-07-06,05:46:00,5.08,06:44:00,6.604,stop_30pct,-1.0
SPHL,2026-07-06,06:10:00,3.15,06:10:00,4.095,stop_30pct,-1.0
SPHL,2026-07-06,06:14:00,4.62,11:00:00,3.09,hora_11:00,1.1
TDIC,2026-07-06,06:46:00,6.12,11:00:00,5.47,hora_11:00,0.35
LHSW,2026-07-06,07:07:00,5.73,09:03:00,7.449,stop_30pct,-1.0
WULX,2026-07-06,07:07:00,35.53,08:00:00,46.189,stop_30pct,-1.0
EDHL,2026-07-07,05:01:00,5.23,11:00:00,4.8555,hora_11:00,0.24
TDIC,2026-07-07,05:01:00,5.31,11:00:00,3.79,hora_11:00,0.95
BJDX,2026-07-07,05:02:00,1.74,11:00:00,1.5397,hora_11:00,0.38
TDTH,2026-07-07,05:03:00,2.99,11:00:00,2.6584,hora_11:00,0.37
VCRE,2026-07-07,05:03:00,20.0,11:03:00,16.15,hora_11:00,0.64
CRNX,2026-07-07,05:08:00,83.65,11:00:00,83.54,hora_11:00,0.0
DCX,2026-07-08,05:01:00,1.36,11:00:00,1.05,hora_11:00,0.76
IOTR,2026-07-08,05:03:00,4.04,11:00:00,3.28,hora_11:00,0.63
NCRA,2026-07-08,05:03:00,2.029,08:05:00,2.6377,stop_30pct,-1.0
WFF,2026-07-08,05:03:00,2.53,07:35:00,3.289,stop_30pct,-1.0
BKYI,2026-07-08,07:10:00,5.2,11:06:00,4.95,hora_11:00,0.16
WFF,2026-07-08,07:36:00,2.9,11:00:00,1.795,hora_11:00,1.27
RPGL,2026-07-09,05:02:00,2.65,11:00:00,2.195,hora_11:00,0.57
VRAX,2026-07-09,07:34:00,5.84,07:38:00,7.592,stop_30pct,-1.0
VRAX,2026-07-09,07:40:00,7.35,08:51:00,9.555,stop_30pct,-1.0
ELPW,2026-07-10,05:01:00,0.8975,11:00:00,0.3075,hora_11:00,2.19
JLHL,2026-07-10,05:01:00,17.52,11:00:00,8.9763,hora_11:00,1.63
GMM,2026-07-10,05:02:00,3.3,07:04:00,4.29,stop_30pct,-1.0
PMA,2026-07-10,05:02:00,1.48,05:48:00,1.924,stop_30pct,-1.0
JZXN,2026-07-10,05:03:00,1.16,09:15:00,1.508,stop_30pct,-1.0
HAO,2026-07-10,05:04:00,1.41,05:05:00,1.833,stop_30pct,-1.0
CHSN,2026-07-10,05:07:00,1.12,07:19:00,1.456,stop_30pct,-1.0
HAO,2026-07-10,05:09:00,1.675,11:00:00,1.48,hora_11:00,0.39
ZCMD,2026-07-10,05:10:00,2.16,05:22:00,2.808,stop_30pct,-1.0
ZCMD,2026-07-10,05:25:00,2.44,11:00:00,2.1356,hora_11:00,0.42
PMA,2026-07-10,05:50:00,1.77,11:00:00,1.81,hora_11:00,-0.08
