ticker,fecha,prev_close,open,ratio,ratio_redondeado,cerca_de_redondo,desviacion_pct
AKTS,2026-01-09,0.0372,27.0,725.8064516129033,726,,
DTC,2025-07-18,0.094,25.0,265.9574468085106,266,,
WW,2025-07-07,0.2496,41.15,164.86378205128204,165,,
GSIW,2026-03-06,0.0501,8.21,163.87225548902197,164,,
FFAI,2026-07-24,0.0717,10.36,144.49093444909343,144,150.0,3.672710367271047
SPRB,2025-09-15,0.0786,11.0,139.94910941475825,140,,
BBBY,2025-08-29,0.0751,9.58,127.56324900133156,128,,
DFNS,2026-07-20,0.042,5.24,124.76190476190476,125,,
DXF,2025-01-24,0.0884,11.0,124.43438914027148,124,,
WBUY,2025-05-08,0.1235,14.0,113.36032388663968,113,,
YHC,2026-07-13,0.0241,2.6,107.88381742738589,108,,
TNFA,2025-09-02,0.0483,4.69,97.10144927536233,97,100.0,2.8985507246376727
SEV,2025-10-16,0.207,19.99,96.57004830917874,97,100.0,3.4299516908212557
QH,2026-05-29,0.094,8.9661,95.38404255319149,95,100.0,4.615957446808508
CJET,2025-11-03,0.0492,4.48,91.0569105691057,91,,
ALF,2024-08-01,0.1111,9.98,89.82898289828982,90,,
AIM,2025-06-17,0.0949,8.5,89.56796628029505,90,,
ELPW,2026-03-12,0.0523,4.45,85.08604206500956,85,,
ZNB,2026-03-12,0.1078,8.36,77.55102040816325,78,75.0,3.4013605442176713
PTN,2025-11-12,0.0941,7.25,77.04569606801275,77,75.0,2.7275947573503267
PTLE,2026-02-27,0.1151,8.43,73.24066029539532,73,75.0,2.345786272806246
FIEE,2025-07-10,201.23,2.86,70.36013986013985,70,,
SCPX,2024-08-02,0.0763,4.9163,64.43381389252949,64,,
SCPX,2024-08-02,0.0763,4.9163,64.43381389252949,64,,
MULN,2025-06-02,0.0821,5.19,63.21559074299635,63,,
SGBX,2025-09-08,0.1251,7.4,59.15267785771384,59,60.0,1.4122035704769331
VCIG,2026-02-27,0.198,10.72,54.141414141414145,54,,
COOK,2026-03-18,0.5983,30.3678,50.75681096439912,51,50.0,1.5136219287982442
VYNE,2026-07-27,0.509,25.5,50.09823182711198,50,50.0,0.19646365422396175
KIDZ,2026-03-10,0.0633,3.06,48.341232227488156,48,50.0,3.317535545023688
WCT,2026-03-06,0.0841,4.05,48.156956004756246,48,50.0,3.6860879904875077
QVCGB,2025-05-27,3.905,186.0,47.63124199743918,48,50.0,4.737516005121634
QVCGB,2025-05-27,3.905,186.0,47.63124199743918,48,50.0,4.737516005121634
TVGN,2026-03-06,0.1551,7.02,45.26112185686654,45,,
EDBL,2026-07-13,0.0975,4.16,42.666666666666664,43,,
BHAT,2026-03-09,0.0348,1.48,42.52873563218391,43,,
STFS,2026-03-13,0.1002,4.008,40.0,40,40.0,0.0
PAPL,2025-07-22,0.0855,3.24,37.89473684210526,38,,
CBIO,2025-06-16,0.5113,19.32,37.78603559554078,38,,
DBGI,2026-07-24,0.501,18.34,36.60678642714571,37,,
UOKA,2026-03-16,0.0574,2.0,34.84320557491289,35,,
CCG,2026-07-20,0.4438,14.65,33.01036502929248,33,,
BURU,2024-08-02,0.0933,3.02,32.36870310825295,32,,
XTKG,2026-03-05,0.0446,1.34,30.044843049327355,30,30.0,0.1494768310911828
CSAI,2026-07-31,0.1981,5.92,29.883897021706208,30,30.0,0.38700992764597447
KNW,2025-03-05,0.0856,2.45,28.621495327102807,29,30.0,4.595015576323978
IXHL,2026-02-27,0.167,4.75,28.44311377245509,28,,
CAMP,2024-10-11,0.4,11.16,27.9,28,,
ORGN,2026-03-20,0.113,3.14,27.787610619469028,28,,
TRIB,2026-07-24,0.2986,8.19,27.427997320830542,27,,
LMFA,2026-07-13,0.1321,3.42,25.889477668433006,26,25.0,3.5579106737320245
INTS,2026-02-19,0.2451,6.0,24.479804161566705,24,25.0,2.0807833537331817
DXST,2026-03-16,0.229,5.58,24.366812227074234,24,25.0,2.5327510917030622
MASK,2026-03-16,0.1354,3.25,24.002954209748893,24,25.0,3.9881831610044287
PRPL,2026-07-20,0.2897,6.91,23.852260959613393,24,25.0,4.59095616154643
GIBO,2026-06-30,1.25,28.0,22.4,22,,
OP,2025-08-25,0.0652,1.45,22.239263803680984,22,,
RSLS,2025-05-09,0.3333,7.12,21.362136213621362,21,,
CWD,2025-09-09,2.15,45.0,20.930232558139537,21,20.0,4.651162790697683
GNPX,2026-07-16,0.4909,10.12,20.6151965777144,21,20.0,3.0759828885719998
ADVB,2026-02-20,0.2267,4.64,20.467578297309217,20,20.0,2.3378914865460843
PED,2026-03-13,0.775,15.791,20.37548387096774,20,20.0,1.8774193548387073
ALPS,2025-10-31,0.1425,2.9,20.35087719298246,20,20.0,1.7543859649122953
RVPH,2026-03-09,0.1786,3.57,19.988801791713325,20,20.0,0.05599104143337641
SPWR,2025-04-22,0.1228,2.42,19.706840390879478,20,20.0,1.465798045602611
DTCK,2026-03-09,0.0715,1.4,19.58041958041958,20,20.0,2.0979020979021
DSY,2026-02-23,0.1786,3.47,19.42889137737962,19,20.0,2.855543113101895
XAIR,2026-07-13,0.417,7.99,19.160671462829736,19,20.0,4.1966426858513195
KWE,2025-04-24,0.2171,4.11,18.931368033164443,19,,
RPGL,2026-02-24,0.2744,5.18,18.877551020408163,19,,
VIVK,2026-07-17,0.213,3.9601,18.592018779342723,19,,
ZJYL,2026-03-16,0.118,2.15,18.220338983050848,18,,
CYCC,2025-07-07,0.236,3.91,16.56779661016949,17,,
CLDI,2026-07-31,0.0933,1.5,16.077170418006432,16,,
CYCC,2025-05-12,0.2534,4.01,15.824782951854774,16,,
QTI,2026-01-28,0.3951,6.1,15.439129334345735,15,15.0,2.9275288956382304
PSQH,2026-07-13,0.408,6.2782,15.387745098039217,15,15.0,2.5849673202614434
SGLY,2026-07-27,0.2686,4.1207,15.341399851079673,15,15.0,2.2759990071978224
APDN,2025-06-02,0.3376,5.12,15.165876777251185,15,15.0,1.1058451816745674
WOLF,2025-09-29,1.21,18.0,14.87603305785124,15,15.0,0.8264462809917343
ZDAI,2026-02-19,0.4429,6.56,14.8114698577557,15,15.0,1.256867614962
AYRO,2025-06-26,0.43,6.26,14.55813953488372,15,15.0,2.9457364341085324
KXIN,2026-03-13,0.3588,5.2,14.492753623188406,14,15.0,3.3816425120772915
EQC,2024-12-09,20.39,1.41,14.460992907801419,14,15.0,3.5933806146572067
ENLV,2026-07-09,0.4805,6.74,14.027055150884497,14,,
XLO,2026-03-16,0.5101,6.75,13.23269947069202,13,,
FMTO,2025-04-09,2.81,0.2134,13.16776007497657,13,,
OCTO,2025-09-08,1.45,18.86,13.006896551724138,13,,
KALA,2025-09-29,19.05,1.47,12.959183673469388,13,,
POAI,2025-09-30,1.2,15.45,12.875,13,,
SI,2025-07-31,1.25,15.6,12.48,12,,
JEM,2026-07-14,0.5033,6.23,12.378303198887345,12,,
BANL,2026-07-20,0.3575,4.19,11.720279720279722,12,,
DCOY,2026-03-09,0.6318,7.38,11.68091168091168,12,,
PLRZ,2025-05-13,0.35,0.032,10.937499999999998,11,,
